都道府県,離職者数（千人）,離職率（％）
茨城県,116.6,4.6
大阪府,519,1.41
愛知県,479.1,1.21
長崎県,67.9,4.34
徳島県,25.4,4.94
三重県,92.3,4.06
秋田県,63.9,4.27
山梨県,27.6,3.2
沖縄県,94.9,2.85
石川県,70.7,4.92
熊本県,98.6,4.91
愛媛県,72.6,2.41
鳥取県,26.1,3.27
宮崎県,67.5,4.37
静岡県,201.5,2.13
青森県,83.2,2.05
東京都,1288.6,4.64
福島県,84.9,4.13
高知県,27.3,1.39
広島県,187.8,2.78
新潟県,108.3,3.78
兵庫県,278.7,1.38
山形県,55.5,2.73
佐賀県,41.6,1.33
岩手県,82.2,3.51
和歌山県,36.6,4.83
京都府,143.9,3.69
大分県,64.9,4.67
岡山県,88.1,4.27
福岡県,325.5,4.03
群馬県,98.2,2.15
神奈川県,474.5,4.39
富山県,51.5,1.19
鹿児島県,106.9,4.46
岐阜県,100.2,1.32
宮城県,126.6,1.28
島根県,36.9,2.1
山口県,97.9,3.28
千葉県,245.8,2.75
香川県,49.8,2.48
北海道,302.8,2.53
奈良県,40.6,2.65
長野県,92.8,1.99
滋賀県,63.8,2.11
栃木県,106.9,3.48
福井県,36.6,4.2
埼玉県,349.4,2.79

